"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Google - Financial Service Provider Of Tomorrow!
#GooglePay #Google #applepay #FinancialServices #VenmoIOU… https://t.co/xqoc6RwTDo",FALSE,0,NA,2020-11-23 23:55:06,TRUE,NA,"1331023501956837376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","my_taiwan",0,FALSE,FALSE,NA,NA
"RT @googledevs: Hello @Angular devs!

It's even easier for you to integrate #GooglePay.

<U+2705> You no longer have to specify the CUSTOM_ELEMENT…",FALSE,0,NA,2020-11-23 23:54:49,FALSE,NA,"1331023430540472321",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EdisonRojas93",123,TRUE,FALSE,NA,NA
"RT @TheTaiwanTimes: Google - Financial Service Provider Of Tomorrow!
#GooglePay #Google #applepay #FinancialServices #VenmoIOU #googlepaygo…",FALSE,0,NA,2020-11-23 23:54:29,FALSE,NA,"1331023344922083329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","my_taiwan",2,TRUE,FALSE,NA,NA
"Google - Financial Service Provider Of Tomorrow!
#GooglePay #Google #applepay #FinancialServices #VenmoIOU… https://t.co/3fuhedia86",FALSE,0,NA,2020-11-23 23:54:06,TRUE,NA,"1331023251154247680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NingxiaM",0,FALSE,FALSE,NA,NA
"Google - Financial Service Provider Of Tomorrow!
#GooglePay #Google #applepay #FinancialServices #VenmoIOU… https://t.co/zfD1oMFwGY",FALSE,2,NA,2020-11-23 23:53:46,TRUE,NA,"1331023166668382208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheTaiwanTimes",2,FALSE,FALSE,NA,NA
"RT @MarkBuckton1970: Google - Financial Service Provider Of Tomorrow!
#GooglePay #Google #applepay #FinancialServices #VenmoIOU #googlepayg…",FALSE,0,NA,2020-11-23 23:53:40,FALSE,NA,"1331023138352599040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheTaiwanTimes",2,TRUE,FALSE,NA,NA
"Google - Financial Service Provider Of Tomorrow!
#GooglePay #Google #applepay #FinancialServices #VenmoIOU… https://t.co/8pRlOuAzGp",FALSE,0,NA,2020-11-23 23:53:14,TRUE,NA,"1331023032618414081",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DadaochengTours",0,FALSE,FALSE,NA,NA
"RT @MarkBuckton1970: Google - Financial Service Provider Of Tomorrow!
#GooglePay #Google #applepay #FinancialServices #VenmoIOU #googlepayg…",FALSE,0,NA,2020-11-23 23:52:59,FALSE,NA,"1331022967862554626",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DadaochengTours",2,TRUE,FALSE,NA,NA
"Google - Financial Service Provider Of Tomorrow!
#GooglePay #Google #applepay #FinancialServices #VenmoIOU… https://t.co/zgIBmUhGaD",FALSE,2,NA,2020-11-23 23:51:02,TRUE,NA,"1331022478143963137",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MarkBuckton1970",2,FALSE,FALSE,NA,NA
"RT @googledevs: Hello @Angular devs!

It's even easier for you to integrate #GooglePay.

<U+2705> You no longer have to specify the CUSTOM_ELEMENT…",FALSE,0,NA,2020-11-23 23:50:23,FALSE,NA,"1331022313446248449",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","laco2net",123,TRUE,FALSE,NA,NA
